id,KindID,Name,SortOrder,IsActive
680,130,Размеры ниши для встраивания,8667,1
681,342,Общая информация,2218,1
682,342,Основные,1534,1
683,342,Размеры и вес,4178,1
684,315,Основные,1534,1
685,315,Общая информация,2218,1
686,315,Технические характеристики,3392,1
687,315,Комплектация,5892,1
688,374,Основные,1534,1
689,374,Конструктивные характеристики,7750,1
690,374,Габариты,7600,1
691,374,Общая информация,2218,1
692,402,Основные,1534,1
693,411,Основные,1534,1
694,409,Общая информация,2218,1
695,409,Основные,1534,1
696,409,Размеры и вес,4178,1
697,393,Общая информация,2218,1
698,393,Основные,1534,1
699,393,Технические характеристики,3392,1
700,393,Размеры и вес,4178,1
701,415,Основные,1534,1
702,417,Основные,1534,1
703,429,Основные,1534,1
704,429,Технические характеристики,3392,1
705,429,Комплектация,5892,1
706,429,Размеры и вес,4178,1
707,429,Общая информация,2218,1
708,429,Аккумулятор,5556,1
709,282,Общая информация,2218,1
710,282,Основные,1534,1
711,321,Конструкция,3773,1
712,321,Общая информация,2218,1
713,321,Система запирания,3000,1
714,321,Отделка,4000,1
715,442,Общая информация,2218,1
716,442,Основные,1534,1
717,442,Размеры и вес,4178,1
718,442,Функциональные особенности,4270,1
719,442,Комплектация,5892,1
720,422,Основные,1534,1
721,422,Общая информация,2218,1
722,422,Комплектация,5892,1
723,422,Размеры и вес,4178,1
724,424,Общая информация,2218,1
725,424,Основные,1534,1
726,424,Технические характеристики,3392,1
727,493,Общая информация,2218,1
728,493,Основные,1534,1
729,493,Свойства,3000,1
730,256,Общая информация,2218,1
731,491,Основные,1534,1
732,491,Общая информация,2218,1
733,461,Общая информация,2218,1
734,461,Основные,1534,1
735,461,Особенности конструкции,2750,1
736,524,Основные,1534,1
737,524,Функции,5812,1
738,524,Размеры и вес,4178,1
739,524,Общая информация,2218,1
740,547,Общие характеристики,1000,1
741,497,Основные,1534,1
742,497,Конструкция,3773,1
743,497,Размеры и вес,4178,1
744,497,Размеры в собранном виде,4500,1
745,556,Общая информация,2218,1
746,556,Основные,1534,1
747,556,Особенности конструкции,2750,1
748,556,Размеры и вес,4178,1
749,447,Основные,1534,1
750,447,Общая информация,2218,1
751,447,Размеры и вес,4178,1
752,566,Основные,1534,1
753,566,Общая информация,2218,1
754,561,Основные,1534,1
755,561,Управление и индикация,3417,1
756,561,Увлажнение воздуха,5000,1
757,561,Функциональные особенности,4270,1
758,561,Габариты,7600,1
759,561,Комплектация,5892,1
