id,GroupID,Name,Description,IsActive,SortOrder
412,68,Расчетная тепловая мощность (TDP),,1,684120
413,68,Техпроцесс,,1,684130
414,68,Многопоточность ядра,,1,684140
415,68,Виртуализация AMD-V,,1,684150
416,68,Виртуализация Intel VT-x,,1,684160
417,68,Виртуализация Intel VT-d,,1,684170
418,69,Комплект поставки,,1,694180
419,68,Частота шины,,1,684190
420,68,Защищенная платформа Intel TXT,,1,684200
421,64,Внешняя видеокарта,,1,644210
422,70,Дата выхода на рынок,,1,704220
423,71,Поддержка процессоров,,1,714230
424,71,Сокет,,1,714240
425,71,Чипсет,,1,714250
426,71,Форм-фактор,,1,714260
427,71,Подсветка,,1,714270
428,72,Тип памяти,,1,724280
429,72,Количество слотов памяти,,1,724290
430,72,Максимальный объём памяти,,1,724300
431,72,Режим памяти,,1,724310
432,72,Максимальная частота памяти,,1,724320
433,73,Поддержка встроенной графики,,1,734330
434,73,Поддержка SLi/CrossFire,,1,734340
435,73,Встроенный звук,,1,734350
436,73,Звуковая схема,,1,734360
437,74,Bluetooth,,1,744370
438,74,Wi-Fi,,1,744380
439,74,USB 2.0,,1,744390
440,74,USB 3.2 Gen1 Type-A (5 Гбит/с),,1,744400
441,74,USB 3.2 Gen2 Type-A (10 Гбит/с),,1,744410
442,74,USB 3.2 Gen1 Type-C (5 Гбит/с),,1,744420
443,74,USB 3.2 Gen2 Type-C (10 Гбит/с),,1,744430
444,74,DisplayPort,,1,744440
445,74,mini DisplayPort,,1,744450
446,74,VGA (D-Sub),,1,744460
447,74,DVI,,1,744470
448,74,HDMI,,1,744480
449,74,Thunderbolt,,1,744490
450,74,Версия PCI Express,,1,744500
451,74,Всего PCI Express x16,,1,744510
452,74,Из них PCI Express 2.0 x16,,1,744520
453,74,Всего PCI Express x1,,1,744530
454,74,Из них PCI Express 2.0 x1,,1,744540
455,74,Всего PCI Express x4,,1,744550
456,74,Из них PCI Express 2.0 x4,,1,744560
457,74,Всего PCI Express x8,,1,744570
458,74,Из них PCI Express 2.0 x8,,1,744580
459,74,PCI,,1,744590
460,74,Ethernet,,1,744600
461,74,RAID,,1,744610
462,74,SATA 2.0,,1,744620
463,74,SATA 3.0,,1,744630
464,74,mSATA,,1,744640
465,74,SATA Express,,1,744650
466,74,M.2,,1,744660
467,74,U.2,,1,744670
468,74,SAS,,1,744680
469,74,eSATA,,1,744690
470,74,Цифровой выход S/PDIF,,1,744700
471,74,Аудио (3.5 мм jack),,1,744710
472,74,RS-232,,1,744720
473,74,IEEE1284 (LPT),,1,744730
474,74,PS/2,,1,744740
475,75,Длина,,1,754750
476,75,Ширина,,1,754760
477,74,Режимы работы нескольких PCIe x16 слотов,,1,744770
478,74,IDE,,1,744780
479,74,USB 3.2 Gen 2x2 (20 Гбит/с),,1,744790
480,74,Слот для модуля Wi-Fi,,1,744800
481,71,Встроенный процессор,,1,714810
482,74,PCI X,,1,744820
483,74,FireWire (iLink),,1,744830
484,71,Частота шины,,1,714840
485,23,Емкость SSD,,1,234850
486,76,Набор,,1,764860
487,76,Объем,,1,764870
488,76,Тип,,1,764880
489,76,ECC,,1,764890
490,76,Частота,,1,764900
491,76,PC-индекс,,1,764910
492,76,CAS Latency,,1,764920
493,76,Тайминги,,1,764930
494,76,Напряжение питания,,1,764940
495,77,Расположение чипов,,1,774950
496,77,Количество ранков,,1,774960
497,77,Число микросхем,,1,774970
498,77,Ёмкость микросхем,,1,774980
499,77,Тип микросхем,,1,774990
500,77,Профили XMP,,1,775000
501,77,Профили AMP,,1,775010
502,78,Охлаждение,,1,785020
503,78,Низкопрофильный модуль,,1,785030
504,78,Подсветка элементов платы,,1,785040
505,78,Цвет,,1,785050
506,79,Тип,,1,795060
507,79,Охлаждение,,1,795070
508,80,Сокет,,1,805080
509,80,Рассеиваемая мощность,,1,805090
510,80,Материал радиатора,,1,805100
511,80,Тепловые трубки,,1,805110
512,80,Испарительные камеры,,1,805120
513,81,Диаметр вентилятора,,1,815130
514,81,Количество вентиляторов,,1,815140
515,81,Подшипник,,1,815150
516,81,Минимальная скорость вращения,,1,815160
517,81,Максимальная скорость вращения,,1,815170
518,81,Максимальный воздушный поток,,1,815180
519,81,Контроль скорости вращения (PWM),,1,815190
520,81,Термоконтроль,,1,815200
521,81,Тип подключения,,1,815210
522,81,LED-подсветка,,1,815220
523,81,Виброизоляция,,1,815230
524,81,Уровень шума,,1,815240
525,82,Ширина,,1,825250
526,82,Глубина,,1,825260
527,82,Высота,,1,825270
528,82,Вес,,1,825280
529,79,Цвет,,1,795290
530,80,Длина трубки,,1,805300
531,83,Подшипник,,1,835310
532,83,Максимальная скорость вращения,,1,835320
533,83,Контроль скорости вращения (PWM),,1,835330
534,83,Тип подключения,,1,835340
535,83,LED-подсветка,,1,835350
536,83,Уровень шума,,1,835360
537,80,Установка в слот расширения,,1,805370
538,80,Теплопроводность,,1,805380
539,83,Минимальная скорость вращения,,1,835390
540,79,"Монтаж в 19"" стойку",,1,795400
541,80,Резьба,,1,805410
542,80,Внешний диаметр трубки,,1,805420
543,80,Внутренний диаметр трубки,,1,805430
544,82,Объём,,1,825440
545,80,Поддержка видеокарт NVIDIA,,1,805450
547,86,Дата выхода на рынок,,1,865470
548,87,Объём,,1,875480
549,87,Форм-фактор,,1,875490
550,87,Интерфейс,,1,875500
551,87,Тип микросхем Flash,,1,875510
552,87,Контроллер,,1,875520
553,88,Аппаратное шифрование,,1,885530
554,88,Скорость последовательного чтения,,1,885540
555,88,Скорость последовательной записи,,1,885550
556,88,Энергопотребление (чтение/запись),,1,885560
557,88,Энергопотребление (ожидание),,1,885570
558,88,Время наработки на отказ (МТBF),,1,885580
559,88,Ресурс записи,,1,885590
560,88,Толщина,,1,885600
561,89,"Адаптер 3.5""",,1,895610
562,88,Буфер,,1,885620
563,88,Средняя скорость случайного чтения,,1,885630
748,110,USB,,1,1107480
564,88,Средняя скорость случайной записи,,1,885640
565,88,Размеры устройств M.2,,1,885650
566,88,Охлаждение,,1,885660
567,89,Комплект поставки,,1,895670
568,80,Поддержка видеокарт AMD,,1,805680
569,88,Подсветка,,1,885690
570,87,Техпроцесс,,1,875700
571,83,Максимальная скорость потока,,1,835710
572,88,Интерфейс микросхем Flash,,1,885720
573,83,Максимальный воздушный поток,,1,835730
574,80,Форм-фактор жесткого диска,,1,805740
